"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "XML", "YAML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 9, 13, 118
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 7, 99
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 32, 252
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 29, 206
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 1, 24, 182
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\phone-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 1, 6, 76
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\pop-over.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 23, 145
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 9, 67
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\radio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 34, 231
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 4, 40
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 6, 52
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 1, 10, 134
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 18, 126
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 24, 165
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\config\env.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\Subscription\hooks\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\Subscription\hooks\useCurrentSubscription.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 75
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\Subscription\hooks\useInvoices.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 93
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\Subscription\hooks\useSubscriptionPlans.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 2, 2, 108
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\Subscription\hooks\useUsage.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\Subscription\services\subscriptions.api.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 202
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\alarms\hooks\index.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 73
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\alarms\services\alarmService.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 39, 329
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\alarms\stores\index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\alarms\types\index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\analytics\components\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\analytics\hooks\index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\analytics\services\analyticsServices.ts", "TypeScript", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 286
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\analytics\stores\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\analytics\types\index.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\assets\components\AddAssetModal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 707, 0, 0, 21, 47, 775
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\assets\components\AssetLocationsMapCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 24, 363
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\features\assets\components\AssetTreeView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 8, 78
